text_jp;text_fr;text_en
無音;Silence;Silence
カーソル移動;Déplacement du curseur;Cursor movement
Ｏｋ;OK;OK
ＮＧ;Échec;NG
メニューオープン;Ouverture du menu;Menu open
メニュークローズ;Fermeture du menu;Menu close
メッセージオープン;Ouverture du message;Message window open
メッセージクローズ;Fermeture du message;Message window close
ＨＰ回復メーター;Jauge de récupération PV;HP recovery gauge
ＭＰ回復メーター;Jauge de récupération PM;MP recovery gauge
ジャンプ;Saut;Jump
着地;Atterrissage;Landing
ダッシュ;Dash / Course;Dash / Run
走る;Courir;Run
スライディング;Glissade;Sliding
マント;Cape;Cape
砂：歩く;Marcher sur le sable;Walk on sand
砂：着地;Atterrissage sur le sable;Landing on sand
沼：歩く;Marcher dans le marais;Walk in swamp
沼：着地;Atterrissage dans le marais;Landing in swamp
浅瀬：歩く;Marcher dans les eaux peu profondes;Walk in shallow water
浅瀬：着地;Atterrissage dans les eaux peu profondes;Landing in shallow water
泳ぐ;Nager;Swim
ダメージ;Dégât;Damage
置く;Poser;Place
押す;Pousser;Push
投げる;Lancer;Throw
落ちて壊れる;Tomber et se briser;Fall and break
ぶつかる;Collision;Collision
剣：振る;Épée : frapper;Sword: swing
剣：気をためて振る;Épée : coup chargé;Sword: charged swing
剣：草を斬る;Épée : couper l’herbe;Sword: cut grass
矢：撃つ;Flèche : tirer;Arrow: shoot
矢：気をためて撃つ;Flèche : tir chargé;Arrow: charged shot
矢：敵以外に当たる;Flèche : touche autre chose qu’un ennemi;Arrow: hit non-enemy
鉄球：振る;Boule de fer : balancer;Iron ball: swing
鉄球：気をためて振る;Boule de fer : balancer (chargé);Iron ball: charged swing
ロッド：振る;Bâton : frapper;Rod: swing
凍る;Geler;Freeze
燃える;Brûler;Burn
気をためて凍る;Geler (attaque chargée);Charged freeze
気をためて燃える;Brûler (attaque chargée);Charged burn
気をためる;Charge de pouvoir;Charge power
気合まんたん;Énergie au maximum;Full power
爆弾をだす;Sortir une bombe;Place bomb
爆発大;Grosse explosion;Big explosion
爆発中;Explosion moyenne;Medium explosion
爆発小;Petite explosion;Small explosion
エリクサー;Élixir;Elixir
ＨＰ回復アイテム大;Objet de soin PV (grand);HP recovery item (large)
ＨＰ回復アイテム小;Objet de soin PV (petit);HP recovery item (small)
宝箱があく;Coffre au trésor s’ouvre;Treasure chest opens
ライフアップアイテム;Objet d’augmentation de vie;Life-up item
アイテム入手;Obtention d’objet;Item obtained
ＭＰ回復アイテム;Objet de récupération PM;MP recovery item
落下;Chute;Fall
　　;;
風;Vent;Wind
トラップ解除;Désactivation du piège;Trap disarmed
トラップ解除失敗;Échec de désactivation du piège;Trap disarm failed
鍵を開ける;Ouvrir une serrure;Unlock
扉が開く;Porte qui s’ouvre;Door opens
テレポート;Téléportation;Teleport
階段;Escaliers;Stairs
敵：消滅;Ennemi : disparaît;Enemy: disappears
敵：ダメージ１;Ennemi : dégâts 1;Enemy: damage 1
敵：ダメージ２;Ennemi : dégâts 2;Enemy: damage 2
敵：ダメージ３;Ennemi : dégâts 3;Enemy: damage 3
敵：ダメージ４;Ennemi : dégâts 4;Enemy: damage 4
マップ切替：家;Changement de carte : maison;Map change: house
マップ切替：汎用;Changement de carte : générique;Map change: generic
マップ切替：落下;Changement de carte : chute;Map change: fall
マップ切替：潜水;Changement de carte : plongée;Map change: diving
マップ切替：ワープ;Changement de carte : warp;Map change: warp
マップ切替：洞窟;Changement de carte : grotte;Map change: cave
マップ切替：階段;Changement de carte : escalier;Map change: stairs
マップ切替：橋;Changement de carte : pont;Map change: bridge
　　;;
振動ー＞８５;Vibration → 85;Vibration → 85
台詞：男;Réplique : homme;Voice: male line
台詞：女;Réplique : femme;Voice: female line
台詞：子供;Réplique : enfant;Voice: child line
台詞：モンスター;Réplique : monstre;Voice: monster line
タックル;Charge;Tackle
アイテム発見;Objet découvert;Item found
振動;Vibration;Vibration
豆の木ジャンプ;Saut sur le haricot magique;Beanstalk jump
８７　;87;87
ニルード：叫ぶ;Nilude : crie;Nilude: shout
ニルード：消滅;Nilude : disparaît;Nilude: disappears
ニルード：歩く;Nilude : marche;Nilude: walk
ニルード：歩く;Nilude : marche;Nilude: walk
ニルード：橋が壊れる;Nilude : le pont se brise;Nilude: bridge breaks
ニルード：崩れる;Nilude : s’effondre;Nilude: collapses
ドラゴン：羽ばたく;Dragon : bat des ailes;Dragon: flaps wings
ドラゴン：ダメージ;Dragon : subit des dégâts;Dragon: takes damage
ドラゴン：着地;Dragon : atterrit;Dragon: lands
ドラゴン：火の弾を吐く;Dragon : crache des boules de feu;Dragon: spits fireballs
ドラゴン：炎を吐く;Dragon : crache des flammes;Dragon: breathes flames
ドラゴン：吠える;Dragon : rugit;Dragon: roars
アース：がダメージを受ける;Earth : subit des dégâts;Earth: takes damage
アース：が着地;Earth : atterrit;Earth: lands
アース：が浮かぶ;Earth : s’élève;Earth: rises
アース：岩石が落ちた;Earth : rocher tombé;Earth: rock fell
アース：岩石が落ちてくる;Earth : rochers qui tombent;Earth: rocks falling
アース：岩石を落とす前の叫び;Earth : cri avant de lâcher les rochers;Earth: scream before dropping rocks
アース：が倒される;Earth : est vaincu;Earth: defeated
アビス：がダメージを受ける;Abyss : subit des dégâts;Abyss: takes damage
アビス：腕が出てくる（小）;Abyss : bras apparaît (petit);Abyss: small arm appears
アビス：腕が出てくる（大）;Abyss : bras apparaît (grand);Abyss: large arm appears
アビス：腕がまわる;Abyss : bras qui tourne;Abyss: arm spins
アビス：腕が引っ込む;Abyss : bras se rétracte;Abyss: arm retracts
アビス：が倒される;Abyss : est vaincu;Abyss: defeated
１２：瞳のプレートに乗った;12 : monté sur la plaque de l’œil;12: on the eye plate
１０：刺刺出現;10 : pics apparaissent;10: spikes appear
１０：マッディヘドロ吐く;10 : Muddy Hedoro crache;10: Muddy Hedoro spits
　　;;
　　;;
１０：三色ＳＷ入れた;10 : interrupteur tricolore activé;10: three-color switch activated
１０：岩転がる;10 : rocher roule;10: rock rolls
１０：大鉄球移動;10 : grosse boule de fer se déplace;10: huge iron ball moves
１０：大鉄球回転;10 : grosse boule de fer tourne;10: huge iron ball spins
１１：スリップ;11 : glissade;11: slip
１１：クライン叫び;11 : Klein crie;11: Klein shouts
１１：クライン変身;11 : Klein se transforme;11: Klein transforms
１１：ワープモンスタ出現;11 : monstre de warp apparaît;11: warp monster appears
１１：小岩が転がる;11 : petits rochers roulent;11: small rocks roll
１１：石柱せりあがる;11 : pilier de pierre se lève;11: stone pillar rises
１１：氷が割れる;11 : glace se brise;11: ice cracks
１１：氷柱壊れる;11 : stalactites de glace se brisent;11: ice stalactites break
１１：氷柱滑る;11 : glisser sur la glace;11: slide on ice
１６：リザードマン吠える;16 : homme-lézard rugit;16: lizardman roars
１６：リザードマン泥吐く;16 : homme-lézard crache de la boue;16: lizardman spits mud
１６：炎動く;16 : flamme se déplace;16: flame moves
１６：トカゲの像光る;16 : statue de lézard brille;16: lizard statue shines
１６：トカゲの像動きだす;16 : statue de lézard se met en mouvement;16: lizard statue starts moving
１４：炎が灯る;14 : flammes s’allument;14: flames light up
１４：機械仕掛けの扉;14 : porte mécanique;14: mechanical door
１４：大砲発射;14 : canon tire;14: cannon fires
１４：ゾルジア内臓攻撃;14 : attaque d’organes de Zoldia;14: Zoldia organ attack
１４：落とし穴があく;14 : trappe s’ouvre;14: trapdoor opens
１４：つり天井上がる;14 : plafond écrasant se lève;14: crushing ceiling rises
１５：火が消える;15 : feu s’éteint;15: fire goes out
１５：石の扉開く;15 : porte de pierre s’ouvre;15: stone door opens
１５：死体モンスター出現;15 : monstre cadavre apparaît;15: corpse monster appears
１５：水滴１;15 : gouttes d’eau 1;15: water drops 1
１５：水滴２;15 : gouttes d’eau 2;15: water drops 2
１５：川;15 : rivière;15: river
オーク吠える;Orc : rugit;Orc: roars
０２：水の流れ;02 : courant d’eau;02: water current
